SpanId,Name,LE-X,LE-Y,LE-Z,TE-X,TE-Y,TE-Z,Chord Length,Twist Degrees
0,root,3.756745,1.996377,0.327547,-3.52977,1.99341,0.318274,7.2865,0
1,,2.891615,2.068156,0.373958,-3.597471,2.067886,0.316832,6.4893,0
3,,2.675739,2.315,0.360536,-3.822103,2.315,0.312045,6.498,0.0768
4,,2.343299,2.69513,0.339866,-4.167655,2.69513,0.304681,6.511,0.1948
5,,1.948684,3.146348,0.313867,-4.016127,3.14634,0.30791,5.9647,0.5425
6,,1.554069,3.597565,0.287867,-3.864599,3.59755,0.311139,5.4192,0.8898
7,,1.159454,4.048782,0.261868,-3.71307,4.04876,0.314368,4.8732,1.2378
8,,0.76484,4.5,0.235868,-3.561542,4.49997,0.317597,4.3272,1.5866
9,,-3.412073,4.944917,0.305862,0.375855,4.944778,0.210612,3.7891,2.0869
10,,-3.262604,5.389863,0.294126,-0.013129,5.389556,0.185355,3.2538,2.5886
11,,-0.402113,5.834334,0.160099,-3.113134,5.834809,0.282391,2.7138,3.0872
12,,-0.643055,6.109548,0.144471,-2.84446,6.109864,0.250797,2.2039,3.4267
13,,-0.883998,6.384761,0.128844,-2.575785,6.384919,0.219204,1.6948,3.7659
14,tip,-1.12494,6.659974,0.113216,-2.30711,6.659974,0.18761,1.1845,4.1053
